Naziv poslovnog subjekta,Mjesto,NKD2007,Opis šifre djelatnosti,Broj zaposlenih (sati rada),Dobit/gubitak razdoblja,Kapital i rezerve,Ukupan prihod
ZG INFORMATIKA D.O.O.,SESVETE,6201,Računalno programiranje,10,2.066.142,2.088.703,6.681.065
PANOS ING D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,1,2.062.641,5.756.465,33.149.241
ALFATEC GROUP D.O.O.,ZAGREB,6201,Računalno programiranje,27,2.057.642,5.541.804,26.661.848
LUATECH D.O.O.,ZAGREB,6201,Računalno programiranje,9,1.997.543,2.081.371,5.554.486
BIT PRODIGY D.O.O.,ZAGREB,6201,Računalno programiranje,1,1.981.797,2.001.797,2.459.450
DUPLICO D.O.O.,RAKOV POTOK,6201,Računalno programiranje,63,1.973.209,4.968.336,36.653.475
RADIKAL D.O.O.,SESVETE,6399,"Ostale informacijske uslužne djelatnosti, d. n.",3,1.959.010,2.413.621,10.581.255
NANOBIT D.O.O.,ZAGREB,6201,Računalno programiranje,72,1.955.798,34.253.270,53.745.507
MANEO CONSULTING D.O.O. ZA USLUGE,ZAGREB,6201,Računalno programiranje,2,1.912.506,3.366.473,2.891.888
CET-CUTTING EDGE TECHNOLOGIES D.O.O.,"ČAKOVEC, HRVATSKA",6201,Računalno programiranje,6,1.872.603,2.371.581,4.245.966
INFOTEL D.O.O.,ZAGREB,6201,Računalno programiranje,9,1.860.463,15.513.019,9.986.482
UBER D.O.O.,VINIŠĆE,6201,Računalno programiranje,19,1.842.577,1.862.577,9.534.463
ADACTA D.O.O.,ZAGREB,6201,Računalno programiranje,59,1.838.473,6.008.591,34.557.535
INT.SUS.I INF.TEHNOLOGIJE D.O.O.,ZAGREB,6201,Računalno programiranje,11,1.837.363,2.137.759,6.470.500
ASBISC-CR D.O.O.,ZAGREB,6201,Računalno programiranje,31,1.816.080,10.847.617,218.238.494
MICROLAB D.O.O.,ZAGREB,6201,Računalno programiranje,31,1.805.370,1.918.570,13.860.022
C TIM D.O.O.,ČAKOVEC,6201,Računalno programiranje,6,1.804.270,6.173.516,3.406.999
