Naziv poslovnog subjekta,Mjesto,NKD2007,Opis šifre djelatnosti,Broj zaposlenih (sati rada),Dobit/gubitak razdoblja,Kapital i rezerve,Ukupan prihod
SV GROUP D.O.O.,ZAGREB,6201,Računalno programiranje,37,2594364,9333224,42991674
GEMICRO D.O.O.,ZAGREB,6201,Računalno programiranje,10,2527587,6106034,6941865
ANALYTICOM D.O.O.,SPLIT,6201,Računalno programiranje,20,2514312,8514312,12408515
HR PRO D.O.O.,ZAGREB,6201,Računalno programiranje,48,2511671,10132612,18375439
SEKOM D.O.O.,ZAGREB,6201,Računalno programiranje,15,2509264,10357296,6783438
ITSOFT D.O.O.,JASTREBARSKO,6201,Računalno programiranje,29,2501676,10793917,31812787
NO42 D.O.O.,MEDVEŠČAK,6201,Računalno programiranje,14,2472535,3953908,6401374
NEXGEN D.O.O.,SRAČINEC,6201,Računalno programiranje,10,2464346,3508984,8607255
SARTURA D.O.O.,ZAGREB,6201,Računalno programiranje,14,2455020,2663760,6338791
ALK D.O.O.,KOSTRENA,6201,Računalno programiranje,1,2393306,4697213,4709770
AG04 INNOVATIVE SOLUTIONS D.O.O.,ZAGREB,6201,Računalno programiranje,17,2388660,2448660,6946201
NETCOM D.O.O.,RIJEKA,6201,Računalno programiranje,28,2301875,2332175,15864369
RIS D.O.O.,KASTAV,6201,Računalno programiranje,28,2290423,6008770,9350633
MODERNE KOMUNIKACIJE D.O.O.,ZAGREB,6120,Djelatnosti bežične telekomunikacije,78,2250321,5258702,13012385
KONTO D.O.O.,POŽEGA,6201,Računalno programiranje,21,2231263,5951069,8840887
PROTOK D.O.O.,ZAGREB,6201,Računalno programiranje,11,2225881,7644906,5188752
KOD 22 D.O.O.,SPLIT,6201,Računalno programiranje,1,2165659,2185659,2856023
EVISION INFORMACIJSKI SUSTAVI D.O.O.,ZAGREB,6201,Računalno programiranje,14,2155319,4790893,12190964
LIBUSOFT D.O.O.,VELIKA GORICA,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",5,2148979,2171779,4186917
IRATA RAČUNALA D.O.O.,ZAGREB,6202,Savjetovanje u vezi s računalima,5,2144021,8043786,2965853
CLAVOIP D.O.O.,RIJEKA,6190,Ostale telekomunikacijske djelatnosti,1,2137019,2157447,337145173
POSLOVNA INTELIGENCIJA D.O.O.,ZAGREB,6201,Računalno programiranje,91,2135772,11043515,38279820
CLOUDSENSE D.O.O.,ZAGREB,6201,Računalno programiranje,105,2114432,4884563,55845152
4TH DIMENSION D.O.O.,ZAGREB,6201,Računalno programiranje,16,2104625,3775061,7937442
POS SISTEMI D.O.O.,ZAGREB,6203,Upravljanje računalnom opremom i sustavom,19,2086108,2206108,8233247
ZG INFORMATIKA D.O.O.,SESVETE,6201,Računalno programiranje,10,2066142,2088703,6681065
PANOS ING D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,1,2062641,5756465,33149241
ALFATEC GROUP D.O.O.,ZAGREB,6201,Računalno programiranje,27,2057642,5541804,26661848
LUATECH D.O.O.,ZAGREB,6201,Računalno programiranje,9,1997543,2081371,5554486
BIT PRODIGY D.O.O.,ZAGREB,6201,Računalno programiranje,1,1981797,2001797,2459450
DUPLICO D.O.O.,RAKOV POTOK,6201,Računalno programiranje,63,1973209,4968336,36653475
RADIKAL D.O.O.,SESVETE,6399,"Ostale informacijske uslužne djelatnosti, d. n.",3,1959010,2413621,10581255
NANOBIT D.O.O.,ZAGREB,6201,Računalno programiranje,72,1955798,34253270,53745507
MANEO CONSULTING D.O.O. ZA USLUGE,ZAGREB,6201,Računalno programiranje,2,1912506,3366473,2891888
CET-CUTTING EDGE TECHNOLOGIES D.O.O.,"ČAKOVEC, HRVATSKA",6201,Računalno programiranje,6,1872603,2371581,4245966
INFOTEL D.O.O.,ZAGREB,6201,Računalno programiranje,9,1860463,15513019,9986482
UBER D.O.O.,VINIŠĆE,6201,Računalno programiranje,19,1842577,1862577,9534463
ADACTA D.O.O.,ZAGREB,6201,Računalno programiranje,59,1838473,6008591,34557535
INT.SUS.I INF.TEHNOLOGIJE D.O.O.,ZAGREB,6201,Računalno programiranje,11,1837363,2137759,6470500
ASBISC-CR D.O.O.,ZAGREB,6201,Računalno programiranje,31,1816080,10847617,218238494
MICROLAB D.O.O.,ZAGREB,6201,Računalno programiranje,31,1805370,1918570,13860022
C TIM D.O.O.,ČAKOVEC,6201,Računalno programiranje,6,1804270,6173516,3406999
CENOSCO CROATIA D.O.O.,PULA,6201,Računalno programiranje,17,1797986,3636134,7734124
GLOBALLOGIC D.D.,PEŠČENICA,6203,Upravljanje računalnom opremom i sustavom,85,1789394,7098042,34779871
Q EXPERIENCE D.O.O.,ZAGREB,6110,Djelatnosti žičane telekomunikacije,10,1761454,1669061,10676280
CELEBES IT D.O.O.,DUBROVNIK,6201,Računalno programiranje,22,1754285,8475731,10751007
ION STUDIO D.O.O.,ZAGREB,6201,Računalno programiranje,8,1743738,2586566,6537319
OSMI BIT D.O.O,ZAGREB,6201,Računalno programiranje,22,1743028,2629747,7722241
CA TEHNOLOGIJE ADRIATIC D.O.O.,ZAGREB,6201,Računalno programiranje,3,1713321,2499429,7536309
SVAM PLUS D.O.O. ZA INFORMATIČKI INŽENJERING,ZAGREB,6201,Računalno programiranje,28,1665575,3591901,9346543
STATUS D.O.O.,RIJEKA,6201,Računalno programiranje,8,1663246,2369679,3678658
8 SIGMA D.O.O.,ZAGREB,6201,Računalno programiranje,7,1659416,2171338,2983507
PAKEL D.O.O.,ZADAR,6201,Računalno programiranje,12,1649330,6959410,6010010
AMPLEXOR ADRIATIC D.O.O.,ZAGREB,6201,Računalno programiranje,62,1639539,10740500,34266254
INTELLEXI D.O.O.,ZAGREB,6201,Računalno programiranje,11,1632350,3048350,5513038
GAUSS D.O.O.,VUKOVAR,6201,Računalno programiranje,69,1613639,3106513,11290415
APCOM D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,5,1597384,6647353,12837607
SENSORIUM D.O.O.,MAKARSKA,6201,Računalno programiranje,1,1594945,1614944,2029639
IRATA D.O.O.,ZAGREB,6201,Računalno programiranje,17,1587685,5877983,9002630
KRON D.O.O.,SPLIT,6201,Računalno programiranje,22,1582936,10371270,7859331
ERSTE GROUP IT HR D.O.O.,BJELOVAR,6311,"Obrada podataka, usluge poslužitelja i djelatnosti povezane s njima",64,1541338,6631930,99335647
UNDABOT D.O.O.,ZAGREB,6201,Računalno programiranje,17,1535847,3426332,8352060
STANIĆ AUTOMATION D.O.O.,SVETI IVAN ZELINA,6201,Računalno programiranje,4,1518621,1599018,2900113
COMFAB D.O.O.,ZAGREB,6201,Računalno programiranje,1,1503677,1335446,1704639
VESTIGO D.O.O.,ZAGREB,6201,Računalno programiranje,87,1503261,7860233,28445536
PRO-PING D.O.O.,PITOMAČA,6120,Djelatnosti bežične telekomunikacije,13,1501370,2295438,6776420
TOTUS D.O.O.,ZAGREB,6201,Računalno programiranje,7,1499104,2463898,4653264
DABAR INFORMATIKA D.O.O.,ZAGREB,6201,Računalno programiranje,15,1498136,13833034,7398868
APLOS D.O.O.,ZAGREB,6201,Računalno programiranje,7,1494977,1971797,2849048
MEDIA BIT D.O.O.,IVANEC,6201,Računalno programiranje,1,1477123,4974312,2984988
KOIOS SAVJETOVANJE D.O.O.,ZAGREB,6201,Računalno programiranje,20,1467376,2093250,7568770
MIPS D.O.O.,ZAGREB,6201,Računalno programiranje,30,1467033,2519369,11434332
AXIOM D.O.O,ČAKOVEC,6201,Računalno programiranje,10,1466021,2716972,3965412
PROMEKS KOMPJUTER D.O.O.,ZAGREB,6201,Računalno programiranje,12,1460535,2709605,5307128
CALIGO PROGRAMSKA RJEŠENJA D.O.O.,SVETA NEDJELJA,6201,Računalno programiranje,0,1451120,1726343,7961560
KAPSCH CARRIERCOM D.O.O.,ZAGREB,6201,Računalno programiranje,40,1418051,22344267,66065358
COADRIA D.O.O.,RIJEKA,6201,Računalno programiranje,73,1402694,1749672,16040854
APPENTURE D.O.O.,VARAŽDIN,6201,Računalno programiranje,11,1388914,1991630,4956767
SMARTIVO TEHNOLOGIJE D.O.O.,ZAGREB,6209,Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima,4,1349938,1369938,2633312
